customer_id,age,gender,education_level,employment_type,annual_income,loan_amount,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag,income,account_creation_date,account_creation_year,account_creation_month,account_creation_day,account_creation_weekday,education_level_encoded,gender_encoded,region_North,region_South,region_West,loan_purpose_Car,loan_purpose_Education,loan_purpose_Home,loan_purpose_Other,income_bin,high_income_flag,income_quantile,income_kmeans_bin,debt_to_income_ratio,spending_to_income_ratio,avg_monthly_transactions
-0.6275961469272555,1.22700811246197,,16.838207436639163,0.007780222493685974,100017,Male,Graduate,Self-Employed,2,33,2016-05-23,0,20079.82,2016-05-23,2016,5,23,0,,1,False,True,False,True,False,False,False,Very Low,0.0,Q1,2,-5353.526580171569,-63.04950862540932,6.6
-0.05466911039816559,0.6676944346844622,,20.571787373214676,-1.5381126726835668,100017,Male,Graduate,Self-Employed,0,33,2019-08-10,0,28300.66,2019-08-10,2019,8,10,5,,1,True,False,False,False,False,True,False,Very Low,0.0,Q2,0,-112084.74872185302,-156.84921059298097,4.125
0.28181813247503795,0.6747480949112278,,21.727457956619258,-0.5342701340774253,100017,Female,Secondary,Self-Employed,0,36,2019-11-05,0,54039.07,2019-11-05,2019,11,5,1,,0,False,True,False,False,False,False,False,Low,1.0,Q3,3,23394.438602591577,65.2070830292223,3.272727272727273
-0.7544756241961618,-1.4872639555918783,0.2049666734165217,21.74741290041088,0.2275077250463414,100017,Male,Graduate,Salaried,1,49,2024-06-25,0,30539.99,2024-06-25,2024,6,25,1,,1,False,False,False,False,False,False,False,Low,0.0,Q2,0,-14435.890693175177,-62.111158581822345,8.166666666666666
-0.7308460465307981,1.4810460761206274,0.5106054773921009,21.746699136447294,0.37108435996766803,100017,Male,Graduate,Salaried,0,46,2025-06-07,0,20334.7,2025-06-07,2025,6,7,5,,1,False,False,False,False,True,False,False,Very Low,0.0,Q1,2,-14746.772054693021,-68.0021870825058,7.666666666666667
-0.0019051607559354838,0.10119824222320839,,18.90139476186,-0.10912689916596731,100018,Female,Graduate,Salaried,0,32,2019-04-09,0,14730.59,2019-04-09,2019,4,9,1,,0,False,False,False,False,False,False,True,Very Low,0.0,Q1,2,-2156853.063438293,-14483.027778238278,8.0
-0.3660513459289527,0.6635957135004645,,20.71766253086433,-0.11811690059887513,100019,Female,Graduate,Self-Employed,1,39,2025-02-26,0,10555.3,2025-02-26,2025,2,26,2,,0,False,False,True,False,False,False,False,Very Low,0.0,Q1,2,-20075.20849672267,-89.47634721237694,19.5
-0.35516468057514494,0.6386262255044955,0.773286107341004,19.173028950519146,0.2782827695647741,100020,Male,Secondary,Salaried,1,40,2023-01-09,0,8444.4,2023-01-09,2023,1,9,0,,1,False,False,True,False,False,True,False,Very Low,0.0,Q1,2,-14616.847925470627,-112.8340468922328,40.0
-0.6890507869452371,-3.311972615956293,,22.79449094995055,0.5778614527399167,100021,Male,Primary,Self-Employed,1,34,2019-08-21,0,29392.64,2019-08-21,2019,8,21,2,,1,False,False,False,True,False,False,False,Very Low,0.0,Q2,0,-18998.484891553082,-77.78444064998817,4.25
-0.5780447428019525,-0.5975987135540305,0.48124252829075964,26.01949865814867,0.8101804268104146,100022,Female,Post-Graduate,Unemployed,0,32,2023-07-12,0,34967.37,2023-07-12,2023,7,12,2,,0,True,False,False,False,True,False,False,Low,0.0,Q2,0,-39629.9987825075,-97.36632147853909,4.571428571428571
0.1045169565124169,0.10072801374074522,,21.38777599560884,-1.3511615628507443,100026,Male,Primary,Unemployed,1,46,2023-01-28,0,34033.9,2023-01-28,2023,1,28,5,,1,False,True,False,False,True,False,False,Low,0.0,Q2,0,64398.913863080845,95.21720842070744,46.0
-0.3842070027538337,1.8549165902695646,,19.79772795360691,-0.892459619780734,100028,Male,Post-Graduate,Salaried,0,29,2020-08-12,0,28270.97,2020-08-12,2020,8,12,2,,1,False,False,True,True,False,False,False,Very Low,0.0,Q2,0,-15770.969652908023,-50.993750339998556,3.625
-0.43631936838815044,1.5802891168245443,,22.702532634387953,0.5899587122120122,100030,Male,Graduate,Self-Employed,0,35,2019-07-20,0,26297.97,2019-07-20,2019,7,20,5,,1,False,False,True,False,False,True,False,Very Low,0.0,Q2,2,-26268.00199592213,-110.1241549189165,5.0
-0.8051768619903372,-72.75091827954931,0.1577780699071742,22.22782205761799,1.2919745503679163,100032,Male,Graduate,Self-Employed,0,40,2017-08-16,0,26375.33,2017-08-16,2017,8,16,2,,1,False,False,False,False,False,False,False,Very Low,0.0,Q2,2,-15262.016694416405,-92.97464265262111,5.0
-0.07355015661302784,0.9243272184192001,,23.534017444134218,1.5465004996468834,100033,Male,Post-Graduate,Salaried,0,48,2017-06-18,0,32653.97,2017-06-18,2017,6,18,6,,1,True,False,False,True,False,False,False,Low,0.0,Q2,0,-154320.2612950422,-792.2047592877514,8.0
-0.2969201245307487,1.10652014055643,0.787597496305104,24.421255496150486,-2.101902629792791,100034,Male,Post-Graduate,Salaried,1,48,2022-05-08,0,26756.21,2022-05-08,2022,5,8,6,,1,True,False,False,True,False,False,False,Very Low,0.0,Q2,2,-50484.23478347554,-10.754075772851834,9.6
0.3068757183468017,0.8598742535576778,,21.978806730664875,-1.9327471831528789,100035,Female,Primary,Salaried,0,33,2017-07-13,0,52554.86,2017-07-13,2017,7,13,3,,0,True,False,False,True,False,False,False,Low,1.0,Q3,3,22331.833116691618,11.916843107118957,4.714285714285714
0.6073619255075295,19.852343172935733,0.49553623004751735,28.952357656612428,1.2014493785799065,100036,Male,Graduate,Salaried,0,30,2021-12-29,0,59352.52,2021-12-29,2021,12,29,2,,1,False,True,False,False,True,False,False,Low,1.0,Q4,3,34412.91133155646,59.53968236840292,2.5
-0.8593038913246408,1.0030964967542924,,18.883882343720284,-0.07184661657750845,100040,Male,Post-Graduate,Unemployed,1,47,2023-09-14,0,12194.18,2023-09-14,2023,9,14,3,,1,False,False,False,False,True,False,False,Very Low,0.0,Q1,2,-7091.6796125809215,-48.81489368473905,5.222222222222222
-0.818676047577163,2.925101354084277,,22.274557027452186,0.24432986076627658,100042,Male,Secondary,Salaried,2,42,2018-01-04,0,23133.3,2018-01-04,2018,1,4,3,,1,False,True,False,False,True,False,False,Very Low,0.0,Q1,2,-15242.50615891859,-59.351482670945636,42.0
0.579811613517778,-21.402326505410926,,29.860367012809956,1.4063649904201612,100043,Female,Graduate,Self-Employed,0,35,2022-04-29,0,57525.76,2022-04-29,2022,4,29,4,,0,False,True,False,False,True,False,False,Low,1.0,Q3,3,42391.26301009437,68.14162231205647,8.75
0.6137251802112721,0.8556412876257758,,23.019031368917023,0.9955841838778388,100046,Male,Primary,Salaried,0,51,2020-11-15,0,76175.08,2020-11-15,2020,11,15,6,,1,False,True,False,False,False,False,True,Medium,1.0,Q4,1,11674.43474928675,54.320817872873,4.636363636363637
-0.4162852208865602,0.7290843366440571,0.7464777459631835,21.95917763463273,0.23098959492819285,100047,Male,Graduate,Salaried,0,43,2022-01-14,0,13394.15,2022-01-14,2022,1,14,4,,1,True,False,False,False,True,False,False,Very Low,0.0,Q1,2,-23461.132626676903,-96.79520358745889,43.0
-0.6585976898610199,0.7802783445603464,,15.74828885600203,-0.8720629194890483,100052,Female,Post-Graduate,Self-Employed,2,43,2019-10-06,0,8444.4,2019-10-06,2019,10,6,6,,0,False,False,False,False,False,False,True,Very Low,0.0,Q1,2,-3902.692349360388,-34.285041463371286,4.3
-0.1976910946798164,2.8364471923234755,0.8107555054077535,23.197700905977815,-1.3510158479139565,100053,Male,Secondary,Salaried,0,37,2020-10-22,0,33601.71,2020-10-22,2020,10,22,3,,1,False,False,False,False,True,False,False,Low,0.0,Q2,0,-57123.1966476371,-58.49257265413987,3.7
0.014215303563625372,1.0392384092976714,0.8639081679262833,25.36812269785201,-2.027928517240456,100054,Female,Post-Graduate,Salaried,1,42,2017-03-30,0,37078.0,2017-03-30,2017,3,30,3,,0,False,False,True,False,False,True,False,Low,0.0,Q2,0,1080054.6787997426,238.0224876177979,14.0
0.5661428238869075,0.7237659199448715,0.6676217263407717,22.454236816351784,1.1960566392666636,100055,Female,Primary,Salaried,0,48,2019-11-05,0,78853.69,2019-11-05,2019,11,5,1,,0,False,False,True,True,False,False,False,Medium,1.0,Q4,1,11604.055126833246,65.20595435318573,4.363636363636363
-0.5411669800269605,0.840229693010683,,21.949622363096207,-1.9683535367378056,100056,Male,Secondary,Salaried,0,49,2017-08-09,0,14525.95,2017-08-09,2017,8,9,2,,1,False,False,False,True,False,False,False,Very Low,0.0,Q1,2,-19077.36502957299,-9.447517132684814,6.125
-0.7997652322884194,0.9989085504907934,,19.533975285197677,1.926537723064942,100057,Male,Secondary,Self-Employed,0,37,2022-05-09,0,13183.55,2022-05-09,2022,5,9,0,,1,False,False,False,True,False,False,False,Very Low,0.0,Q1,2,-8613.706622808631,-115.34736546644471,7.4
-0.8585604210844829,1.0225721633031635,,21.522343596888064,-2.101902629792791,100060,Male,Secondary,Salaried,0,46,2022-02-03,0,12657.85,2022-02-03,2022,2,3,3,,1,False,True,False,False,True,False,False,Very Low,0.0,Q1,2,-12664.66772301561,-4.794429313324991,23.0
0.646663488711368,0.6093296023971997,,29.791413997864897,0.4707854789941157,100061,Female,Graduate,Salaried,0,43,2018-08-27,0,105679.49,2018-08-27,2018,8,27,0,,0,True,False,False,False,False,False,False,High,1.0,Q4,1,36233.02909610903,40.61132582183541,5.375
0.20412519354423414,0.9774997080509303,,22.284181041271776,-0.2573219608764288,100062,Male,Secondary,Salaried,1,34,2022-03-08,0,45843.48,2022-03-08,2022,3,8,1,,1,False,False,True,False,False,False,False,Low,0.0,Q3,0,37698.99040057523,111.74100492958289,11.333333333333334
-0.2923644109840688,-0.27219313621171104,,27.5269663582207,-0.9756540322128948,100066,Male,Post-Graduate,Self-Employed,0,50,2017-02-06,0,39394.48,2017-02-06,2017,2,6,0,,1,False,True,False,False,False,False,True,Low,0.0,Q3,0,-89347.23177352984,-59.83934726649041,25.0
0.6080349563571443,0.5930135440437379,0.5638852774297067,25.67580740006685,0.13549854367388486,100067,Male,Graduate,Unemployed,0,34,2018-10-18,0,103888.13,2018-10-18,2018,10,18,3,,1,True,False,False,False,False,False,True,High,1.0,Q4,1,19542.471311455607,37.54433616275751,3.4
-0.6471870480361812,1.4847077842980694,0.5956136846315896,24.26222835481909,0.5533326217071346,100068,Male,Secondary,Salaried,0,40,2024-12-21,0,21762.82,2024-12-21,2024,12,21,5,,1,False,False,True,False,False,False,True,Very Low,0.0,Q1,2,-26412.112087773905,-80.41339821924723,3.3333333333333335
-0.8342234453394938,2.1723270377607276,0.1121285703871763,22.601585092181807,0.3941237244232379,100073,Male,Secondary,Salaried,0,36,2020-06-23,0,21630.39,2020-06-23,2020,6,23,1,,1,True,False,False,False,False,False,False,Very Low,0.0,Q1,2,-16087.355321066454,-62.99424509098397,6.0
0.6030382849178807,2.9278309749860973,,26.452868971860518,-1.1344315826842928,100077,Male,Secondary,Unemployed,1,53,2016-11-02,0,61561.98,2016-11-02,2016,11,2,2,,1,True,False,False,False,False,False,False,Medium,1.0,Q4,3,22705.258529996976,15.868896593473828,4.818181818181818
-0.4717996325430397,-0.4294872453614087,0.5250712556253194,26.706813689775558,0.5473176695648856,100078,Male,Graduate,Salaried,0,44,2019-10-13,0,36864.91,2019-10-13,2019,10,13,6,,1,False,False,False,True,False,False,False,Low,0.0,Q2,0,-52247.39952182047,-101.59917895220835,4.4
-0.1455401054064701,0.6533301506242082,,23.202756307197955,0.6371557241824964,100079,Male,Secondary,Salaried,0,40,2016-06-06,0,21766.84,2016-06-06,2016,6,6,0,,1,False,True,False,False,False,True,False,Very Low,0.0,Q1,2,-75726.50418971757,-293.4456919520653,6.666666666666667
0.468428375270039,0.6493880698653414,0.7879609294157286,27.28160188501827,-0.2617124378224427,100082,Male,Secondary,Self-Employed,0,28,2020-06-10,0,74582.95,2020-06-10,2020,6,10,2,,1,False,False,True,False,False,True,False,Medium,1.0,Q4,1,36345.55576131737,42.24022690157563,4.666666666666667
0.40422607780211356,-7.610286311870435,,27.298918167105676,-1.612160581624882,100085,Female,Primary,Salaried,0,38,2025-07-14,0,50614.56,2025-07-14,2025,7,14,0,,0,False,True,False,False,False,True,False,Low,1.0,Q3,3,43723.74448833401,15.119504766820352,5.428571428571429
0.37209943922926664,-0.7844826462907446,0.7868941607661558,27.723418157658614,1.1634440178707635,100087,Male,Secondary,Salaried,0,39,2019-07-03,0,47502.89,2019-07-03,2019,7,3,2,,1,True,False,False,False,False,False,True,Low,0.0,Q3,3,51957.636744909665,108.8265109871658,5.571428571428571
-0.7279237120758146,0.8727040107291293,,15.4962704380274,0.12812306132143766,100088,Male,Post-Graduate,Salaried,0,32,2024-05-18,0,10949.55,2024-05-18,2024,5,18,5,,1,True,False,False,False,False,False,True,Very Low,0.0,Q1,2,-3404.479068267549,-60.53033033934818,6.4
-0.15700537003781417,0.6963739116737405,,16.87802465578595,0.48230208200831004,100095,Male,Post-Graduate,Salaried,0,40,2025-06-08,0,23531.7,2025-06-08,2025,6,8,6,,1,False,True,False,False,False,True,False,Very Low,0.0,Q2,2,-17347.355741184423,-255.44108279411117,6.666666666666667
